公司,品種,重量,大小,件數
CMI,CORA,5,9,808
GANT,CRIS,5,9.5,32
GANT,CRIS,9.0,9.5,80
SIGN,RAIN,4,9.5,120
SIGN,RAIN,25,8.5,448
