公司,品種,重量,大小,件數
CMI,BKPL,5,9.5,360
GANT,CHEL,5,9,79
GANT,CORA,5,8.5,47
GANT,CORA,5,9,303
GANT,CORA,5,9.5,117
GANT,CRIS,5,9,48
GANT,CRIS,5,9.5,486
SIGN,RAIN,4,9,120
SIGN,RAIN,25,8.5,224
