公司,品種,重量,大小,件數
GANT,CORA,5,8.5,480
GANT,CORA,5,9,720
GANT,CORA,5,9.5,1177
GANT,TIET,5,8,23
SIGN,RAIN,4,9,240
SIGN,RAIN,4,9.5,240
